travel_time_path_0,travel_time_path_1,travel_time_path_2
4.25,4.0,4.0
4.25,4.0,4.0
4.25,4.0,4.0
4.25,4.0,4.0
4.25,4.0,4.0
4.25,4.0,4.0
4.25,4.0,4.0
4.25,4.0,4.0
4.0,4.0,3.75
4.0,4.0,3.75
4.0,4.0,3.75
4.0,4.0,3.75
4.0,4.0,3.75
4.0,4.0,3.75
4.0,4.0,3.75
4.0,4.0,3.75
4.0,4.0,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
travel_time_path_0,travel_time_path_1,travel_time_path_2
4.25,4.0,4.0
4.25,4.0,4.0
4.25,4.0,4.0
4.25,4.0,4.0
4.0,4.0,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
3.75,3.75,3.75
